station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,81.14,77.24,77.96,75.2,74.54,75.74000000000001,74.66000000000001,74.17999999999999,73.64,73.64,73.34,73.34,73.64,78.92,83.78,85.64,86.60000000000001,88.75999999999999,88.75999999999999,88.75999999999999,89.36000000000001,87.2,85.04,82.58
69052,78.74,78.02,77.12,76.39999999999999,75.98,75.38,74.66000000000001,74.83999999999999,73.39999999999999,72.86,72.32,72.2,72.32,74.42,79.04,83.24000000000001,85.16000000000001,86.66000000000001,87.92,88.7,87.68,87.92000000000002,87.56,85.94
72201,86.0,86.0,86.0,86.0,86.0,84.91999999999999,84.02,84.91999999999999,84.91999999999999,84.02,84.02,84.02,84.02,84.91999999999999,84.91999999999999,84.91999999999999,84.91999999999999,86.0,87.98,87.08000000000001,89.06,87.08000000000001,87.08000000000001,86.0
72202,84.91999999999999,84.02,84.02,80.96,80.96,80.06,80.06,80.06,80.06,80.06,80.06,80.06,80.06,80.06,84.91999999999999,84.91999999999999,87.98,89.96000000000001,89.96000000000001,87.98,87.98,87.98,86.0,84.02
72203,82.94,78.08,78.08,78.08,78.08,78.08,80.96,82.04,82.04,82.04,82.04,82.04,82.94,84.91999999999999,86.0,87.98,87.98,87.98,89.06,89.06,89.06,87.98,87.08000000000001,84.91999999999999
72204,84.02,84.02,84.02,84.02,84.02,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,86.0,87.08000000000001,87.98,87.08000000000001,87.08000000000001,89.96000000000001,89.06,89.06,87.98,86.0,84.91999999999999
72205,82.94,82.04,80.96,78.98,78.08,78.08,77.0,77.0,75.02,75.92,75.92,77.0,78.08,82.04,84.91999999999999,87.08000000000001,89.06,89.96000000000001,91.03999999999999,91.94,91.03999999999999,89.96000000000001,89.06,84.91999999999999
72206,82.94,78.98,77.0,75.92,75.02,75.02,73.94,73.94,73.04,73.04,71.96,71.96,73.04,77.0,80.96,84.02,87.98,89.96000000000001,89.06,87.98,87.98,84.91999999999999,86.0,82.94
72210,85.52,84.26,83.18,83.78,79.48,78.18,79.5,79.64,78.58,78.10000000000001,77.56,76.76,78.17999999999999,80.78000000000002,83.38,85.51999999999998,87.5,88.33999999999999,89.18,90.44,91.04,91.10000000000001,90.32000000000001,88.52
72211,87.08000000000001,86.0,84.91999999999999,84.91999999999999,82.04,80.96,80.06,80.96,80.06,80.06,80.06,78.98,80.06,82.94,86.0,89.06,91.03999999999999,93.91999999999999,93.91999999999999,95.0,96.08000000000001,96.08000000000001,95.0,93.91999999999999
72212,76.46,76.64,77.18,77.0,74.66,73.58,72.5,71.96,71.96,71.78,71.6,71.6,71.96,76.82,81.68,85.64,87.98,88.88000000000001,92.11999999999999,92.11999999999999,88.7,82.75999999999999,83.48,83.66
72213,80.6,79.88,81.14,78.44,76.82,75.74000000000001,75.2,73.94,73.04,72.68,72.14,71.6,71.96,77.36,81.68,84.74,86.53999999999999,88.88000000000001,89.96000000000001,89.96000000000001,91.58000000000001,90.86,90.5,82.75999999999999
72214,78.08,77.0,77.0,75.02,75.02,73.94,73.94,71.96,71.96,73.04,73.04,73.04,71.06,75.92,80.06,84.02,87.08000000000001,89.06,91.03999999999999,91.03999999999999,89.96000000000001,89.06,84.02,82.04
72220,78.98,78.08,78.08,78.08,77.0,75.92,75.92,75.92,75.02,75.02,73.94,73.94,73.94,77.0,80.96,87.08000000000001,87.98,89.06,87.98,87.98,89.06,87.98,87.98,86.0
72221,78.08,77.0,77.18,75.74000000000001,76.1,75.02,74.66,73.94,72.5,71.6,71.42,71.42,70.88,73.94,79.34,83.12,85.28,86.9,88.88000000000001,88.34,87.08000000000001,88.88000000000001,88.16,87.08000000000001
72222,77.0,75.92,77.0,75.92,73.16000000000001,73.04,72.68,72.13999999999999,72.02,71.83999999999999,71.48,71.0,70.88,75.2,75.92,80.06,84.02,84.91999999999999,87.08000000000001,87.98,89.06,87.98,87.08000000000001,84.08
74756,78.98,73.04,71.96,73.04,73.04,73.94,73.04,73.04,73.04,71.96,71.96,73.04,73.04,77.0,82.04,84.02,87.08000000000001,87.98,89.96000000000001,91.03999999999999,91.03999999999999,91.03999999999999,91.03999999999999,82.94
74775,81.68,80.42,78.98,77.54,76.64,76.28,75.56,75.56,75.2,74.12,73.94,73.58,73.04,75.92,79.7,83.3,85.82,88.34,89.24,90.86,90.68,89.06,87.26,85.28
74776,77.0,75.92,75.92,73.94,73.94,73.04,73.04,73.04,71.96,71.96,71.96,71.06,71.06,75.02,80.06,82.94,84.91999999999999,87.98,89.06,89.06,89.96000000000001,89.96000000000001,91.03999999999999,89.06
74777,78.08,77.0,76.1,75.38,74.84,74.12,73.4,73.58,72.68,71.96,71.6,71.24000000000001,71.06,73.4,78.8,84.56,86.18,87.08000000000001,85.82,87.8,87.98,86.9,86.53999999999999,84.74
74781,78.62,76.64,75.74000000000001,77.0,75.38,73.75999999999999,72.86,71.06,70.52,70.16,69.8,69.08,69.08,77.0,81.32,86.18,88.16,89.24,92.48,92.11999999999999,92.11999999999999,92.11999999999999,91.03999999999999,87.98
74782,82.94,82.04,80.96,80.96,80.06,78.98,75.92,75.02,73.94,73.94,73.94,71.96,73.94,78.98,82.04,86.0,87.08000000000001,87.98,87.98,87.08000000000001,87.08000000000001,87.08000000000001,84.91999999999999,82.94
74783,84.02,82.94,84.02,82.04,82.04,80.96,80.96,82.04,82.04,82.04,82.04,82.94,82.94,80.96,86.0,87.08000000000001,87.98,89.06,87.98,89.06,87.98,86.0,84.91999999999999,84.02
74787,82.04,82.04,80.96,80.06,78.08,77.0,78.08,75.92,75.02,75.02,75.92,75.92,77.0,82.94,82.94,87.08000000000001,87.98,87.98,89.06,89.06,87.98,86.0,86.0,82.94
74788,84.56,83.66,83.12,82.4,77.36,77.18,78.08,78.62,77.72,76.64,76.1,75.02,76.82,80.24000000000001,83.3,85.64,87.61999999999999,89.24,89.96000000000001,90.86,91.76,91.94,91.4,88.7
74793,87.98,86.0,84.02,82.94,82.04,80.96,80.06,78.98,78.08,78.08,77.0,77.0,78.08,80.96,84.02,87.08000000000001,89.96000000000001,91.94,93.91999999999999,93.91999999999999,93.91999999999999,93.02,91.94,87.98
74794,81.86,80.78,79.88,78.8,79.34,80.06,79.34,77.72,78.44,78.98,79.16,78.8,80.6,85.1,86.9,87.61999999999999,88.88000000000001,88.34,89.06,88.7,88.52,87.8,86.0,83.12
74795,83.84,83.3,83.12,83.12,83.12,82.94,82.58,82.4,82.22,82.4,82.22,82.22,82.94,84.74,86.9,87.98,88.88000000000001,89.06,88.7,89.41999999999999,88.34,87.44,85.82,84.38000000000001
74796,81.62,80.3,78.5,78.02,76.58,75.92,75.02,74.96000000000001,74.48,73.76,74.06,73.88000000000001,76.16000000000001,80.48,84.08,87.2,88.04,89.83999999999999,90.44,90.86,91.33999999999999,90.5,87.92,84.26
DFSW4,75.5,74.53999999999999,74.48,73.22000000000001,72.74,71.96,71.71999999999998,70.52,70.46000000000001,69.86,69.68,70.34000000000002,69.86,71.66,77.60000000000001,81.2,84.56,85.16,87.2,87.56,89.66000000000001,88.58,87.86000000000001,84.32
F5PS0,76.39999999999999,75.44,75.44,73.58,73.58,72.68,72.08,71.48,71.12,71.12,70.52,69.62,69.62,73.33999999999999,79.22000000000001,81.98,84.43999999999998,86.66000000000001,88.21999999999998,87.62,89.72000000000001,90.32000000000001,90.08,86.42
G93KN,74.12,73.64,73.7,72.92,72.80000000000001,72.68,72.02,71.54,70.64,70.58,70.15999999999998,69.56,70.58,73.94,78.08,81.74000000000001,84.43999999999998,86.42,87.32,89.3,88.64,89.78000000000002,89.60000000000001,87.56
GDDIA,83.3,83.0,81.68,81.98,82.34000000000002,82.27999999999999,81.67999999999999,81.98,81.67999999999999,81.32,80.66000000000001,80.66000000000001,80.3,80.66000000000001,82.63999999999999,84.02,85.64,86.96,88.33999999999999,89.36000000000001,90.02,88.04,87.68,84.38000000000001
