station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,91.0,95.33333333333333,97.0,98.0,97.0,93.66666666666667,96.0,96.66666666666667,97.66666666666667,96.66666666666667,96.33333333333333,99.0,98.66666666666667,99.0,96.66666666666667,99.0,98.66666666666667,98.66666666666667,96.66666666666667,96.66666666666667,97.0,98.66666666666667,97.0,99.0
69052,90.0,92.66666666666667,93.66666666666667,94.0,93.33333333333333,92.0,91.33333333333333,91.0,91.0,91.0,91.33333333333333,92.66666666666667,93.0,95.0,96.33333333333333,94.66666666666667,79.66666666666667,74.0,71.0,66.0,64.66666666666667,62.333333333333336,61.666666666666664,67.33333333333333
72201,84.0,84.0,88.0,88.0,88.0,85.0,85.0,85.0,85.0,85.0,82.0,84.0,82.0,76.0,74.0,74.0,74.0,72.0,69.0,67.0,69.0,69.0,67.0,77.0
72202,77.0,82.0,82.0,84.0,88.0,88.0,85.0,88.0,84.0,82.0,88.0,88.0,82.0,79.0,72.0,67.0,65.0,59.0,56.0,63.0,63.0,63.0,62.0,69.0
72203,85.0,85.0,88.0,84.0,88.0,88.0,88.0,88.0,87.0,90.0,85.0,90.0,88.0,84.0,76.0,74.0,84.0,67.0,74.0,71.0,72.0,74.0,76.0,82.0
72204,84.0,88.0,88.0,88.0,88.0,90.0,91.0,94.0,90.0,90.0,96.0,96.0,96.0,96.0,88.0,77.0,72.0,67.0,71.0,72.0,71.0,72.0,69.0,77.0
72205,74.0,82.0,88.0,90.0,94.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,82.0,74.0,62.0,60.0,49.0,52.0,79.0,82.0,71.0
72206,90.0,90.0,90.0,90.0,93.0,90.0,90.0,90.0,90.0,90.0,87.0,84.0,93.0,97.0,96.0,97.0,97.0,97.0,97.0,96.0,93.0,93.0,93.0,97.0
72210,79.33333333333333,87.33333333333333,91.33333333333333,92.66666666666667,91.0,92.66666666666667,93.33333333333333,92.77777777777777,94.55555555555556,95.22222222222223,94.77777777777777,94.44444444444444,94.77777777777777,94.33333333333333,92.8888888888889,90.66666666666667,85.33333333333333,80.33333333333333,76.66666666666667,69.33333333333333,62.0,57.666666666666664,52.666666666666664,58.333333333333336
72211,77.0,79.0,82.0,82.0,82.0,85.0,87.0,87.0,91.0,87.0,87.0,87.0,87.0,87.0,82.0,79.0,74.0,67.0,60.0,67.0,65.0,62.0,45.0,46.0
