station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
KPIE0,90.0,97.0,92.66666666666667,91.33333333333333,93.0,92.66666666666667,93.0,93.0,92.0,92.66666666666667,93.0,93.33333333333333,91.33333333333333,91.33333333333333,100.0,93.0,93.0,87.0,96.0,97.0,93.0,93.0,90.0,96.0
KPMP0,79.0,82.0,82.0,82.0,84.0,82.0,84.0,84.0,85.0,85.0,87.0,84.0,82.0,85.0,79.0,72.0,65.0,72.0,88.0,94.0,94.0,91.0,90.0,90.0
KQGE0,80.0,83.33333333333333,85.0,89.0,88.0,83.0,78.66666666666667,79.0,78.33333333333333,80.66666666666667,78.0,78.33333333333333,75.0,78.33333333333333,76.0,70.0,67.0,66.33333333333333,65.66666666666667,66.66666666666667,66.33333333333333,66.66666666666667,71.33333333333333,74.0
KRSW0,79.0,82.0,88.0,90.0,90.0,97.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,76.0,71.0,76.0,79.0,73.0,78.0,76.0,82.0,90.0
KSEF0,73.0,75.0,81.0,83.0,85.0,86.0,89.0,90.0,91.0,92.0,91.0,89.0,89.0,88.0,78.0,67.0,64.0,89.0,86.0,87.0,81.0,79.0,81.0,84.0
KSFB0,96.0,96.0,96.0,97.0,96.0,97.0,96.0,100.0,96.0,97.0,97.0,97.0,100.0,97.0,90.0,90.0,93.0,93.0,87.0,78.0,78.0,84.0,93.0,90.0
KSGJ0,100.0,96.0,100.0,96.0,97.0,97.0,96.0,96.0,93.0,97.0,97.0,97.0,93.0,97.0,93.0,93.0,93.0,93.0,93.0,90.0,87.0,84.0,84.0,93.0
KSPG0,87.0,91.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,90.0,93.0,93.0,93.0,84.0,87.0,93.0,87.0,84.0,90.0,90.0
KSRQ0,84.0,84.0,84.0,94.0,97.0,93.0,93.0,93.0,93.0,93.0,93.0,97.0,90.0,93.0,90.0,93.0,90.0,90.0,87.0,90.0,84.0,87.0,87.0,87.0
KSSI0,90.0,93.0,93.0,93.0,93.0,97.0,93.0,93.0,90.0,93.0,93.0,96.0,93.0,93.0,96.0,90.0,87.0,78.0,63.0,59.0,59.0,59.0,68.0,70.0
KSUA0,78.0,85.33333333333333,86.0,83.0,88.0,88.0,94.0,90.0,88.0,90.66666666666667,89.66666666666667,88.0,95.33333333333333,95.33333333333333,88.0,76.66666666666667,81.33333333333333,78.33333333333333,72.33333333333333,72.0,91.33333333333333,94.0,94.0,95.33333333333333
KSXS0,99.0,76.0,79.0,81.0,84.0,84.0,87.0,88.0,85.0,85.0,91.0,89.0,88.0,91.0,84.0,79.0,78.0,77.0,76.0,77.0,76.0,77.0,81.0,86.0
KTIX0,89.33333333333333,90.33333333333333,90.33333333333333,92.33333333333333,93.0,91.66666666666667,91.33333333333333,92.0,88.66666666666667,95.0,95.33333333333333,96.0,94.66666666666667,94.33333333333333,93.66666666666667,83.0,83.0,94.0,94.0,86.33333333333333,73.0,74.0,78.66666666666667,88.0
KTMA0,98.0,100.0,96.0,100.0,98.0,98.0,100.0,98.0,96.0,94.0,96.0,96.0,98.0,100.0,96.0,100.0,94.0,80.0,78.0,74.0,69.0,67.0,71.0,75.0
KTMB0,82.0,88.0,88.0,88.0,88.0,88.0,88.0,84.0,84.0,88.0,82.0,84.0,88.0,88.0,84.0,77.0,72.0,72.0,94.0,94.0,97.0,91.0,85.0,90.0
KTPF0,86.0,86.66666666666667,92.0,91.66666666666667,93.33333333333333,93.0,93.33333333333333,93.33333333333333,92.33333333333333,93.0,93.33333333333333,95.66666666666667,93.66666666666667,94.66666666666667,93.66666666666667,92.66666666666667,89.66666666666667,86.66666666666667,100.0,89.33333333333333,100.0,85.66666666666667,87.0,90.66666666666667
KTTS0,84.0,86.0,85.0,89.0,91.0,91.0,92.0,92.0,94.0,94.0,94.0,94.0,93.0,93.0,92.0,87.0,83.0,85.0,88.0,82.0,82.0,79.0,83.0,90.0
KTVI0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,94.0,100.0,100.0,94.0,82.0,77.0,77.0,77.0,64.0,72.0,72.0,77.0,82.0
KVDF0,88.0,88.0,88.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,100.0,100.0,100.0,100.0,94.0,88.0,83.0,83.0,88.0,83.0,83.0,83.0,88.0
KVLD0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,96.0,100.0,96.0,96.0,96.0,90.0,78.0,73.0,72.0,70.0,72.0,72.0,75.0,78.0
KVNC0,89.0,89.0,89.0,89.0,88.0,100.0,100.0,94.0,94.0,94.0,94.0,94.0,94.0,100.0,100.0,100.0,88.0,83.0,78.0,78.0,78.0,88.0,88.0,88.0
KVQQ0,100.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,94.0,100.0,94.0,94.0,94.0,100.0,94.0,76.33333333333333,83.0,69.0,64.0,64.0,64.0,60.0,73.0,82.0
KVRB0,82.0,84.0,82.0,85.0,85.0,88.0,88.0,88.0,88.0,88.0,91.0,93.0,93.0,96.0,90.0,78.0,71.0,66.0,60.0,60.0,93.0,93.0,90.0,93.0
KVVG0,99.0,97.0,95.66666666666667,97.0,98.0,96.66666666666667,95.66666666666667,97.0,99.0,98.0,98.0,98.0,98.0,98.0,96.66666666666667,96.33333333333333,92.66666666666667,90.66666666666667,84.33333333333333,82.33333333333333,88.33333333333333,82.33333333333333,83.33333333333333,91.66666666666667
KX070,87.66666666666667,91.66666666666667,90.66666666666667,91.44444444444444,89.66666666666667,92.0,92.55555555555556,94.8888888888889,94.8888888888889,94.22222222222223,92.8888888888889,97.77777777777777,97.77777777777777,96.0,86.33333333333333,83.66666666666667,86.66666666666667,91.0,80.66666666666667,82.0,86.33333333333333,87.66666666666667,85.33333333333333,93.66666666666667
KX600,99.0,97.0,95.33333333333333,96.0,95.66666666666667,94.33333333333333,94.66666666666667,95.66666666666667,96.66666666666667,96.66666666666667,98.0,96.66666666666667,96.66666666666667,96.66666666666667,95.33333333333333,94.33333333333333,88.33333333333333,86.0,80.66666666666667,78.66666666666667,80.0,74.0,75.66666666666667,85.33333333333333
KXFL0,94.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,98.0,98.0,98.0,100.0,100.0,100.0,94.0,100.0,94.0,88.0,94.0,83.0,94.0,94.0,94.0,94.0
KZPH0,98.0,98.0,98.0,98.0,97.0,95.0,93.0,96.0,96.0,94.0,97.0,98.0,98.0,97.0,96.0,96.0,93.0,89.0,85.0,87.0,86.0,84.0,90.0,93.0
NFUKD,100.0,99.0,98.66666666666667,98.66666666666667,97.0,97.66666666666667,78.0,79.33333333333333,77.66666666666667,80.0,78.0,78.66666666666667,76.66666666666667,78.66666666666667,76.33333333333333,74.0,69.0,61.666666666666664,57.0,53.333333333333336,53.333333333333336,50.666666666666664,58.666666666666664,65.0
OZNF7,87.66666666666667,86.66666666666667,87.33333333333333,83.33333333333333,84.0,83.0,84.33333333333333,85.33333333333333,84.33333333333333,86.0,86.66666666666667,89.0,86.66666666666667,88.0,84.0,84.0,83.0,77.0,75.0,75.0,76.66666666666667,76.66666666666667,79.0,84.0
QZ5US,76.66666666666667,80.0,85.66666666666667,87.0,89.66666666666667,92.33333333333333,93.33333333333333,94.66666666666667,97.0,97.33333333333333,95.0,96.33333333333333,96.33333333333333,94.0,86.33333333333333,75.33333333333333,68.0,75.33333333333333,75.33333333333333,81.0,84.33333333333333,81.0,83.66666666666667,87.33333333333333
TMSWZ,94.66666666666667,90.0,84.0,81.33333333333333,82.66666666666667,83.0,88.66666666666667,92.0,87.66666666666667,86.33333333333333,86.0,85.33333333333333,91.0,87.33333333333333,86.66666666666667,78.33333333333333,71.33333333333333,70.66666666666667,69.66666666666667,69.0,72.33333333333333,71.66666666666667,73.66666666666667,76.66666666666667
VFP98,97.0,98.66666666666667,98.66666666666667,97.0,97.0,97.0,98.33333333333333,98.33333333333333,98.33333333333333,98.66666666666667,96.66666666666667,97.66666666666667,96.33333333333333,97.0,96.33333333333333,88.66666666666667,80.66666666666667,71.66666666666667,70.66666666666667,68.0,69.66666666666667,71.66666666666667,76.33333333333333,82.66666666666667
YZNBG,82.66666666666667,83.33333333333333,84.0,87.0,85.66666666666667,89.0,90.0,89.66666666666667,89.33333333333333,93.66666666666667,92.33333333333333,94.0,94.0,95.0,90.0,80.66666666666667,77.66666666666667,73.0,74.0,76.0,86.0,86.0,85.0,90.0
