,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,292.94000244140625,292.82000732421875,292.7099914550781,292.5899963378906,292.510009765625,292.44000244140625,292.3699951171875,292.2900085449219,292.2200012207031,292.1400146484375,292.2799987792969,292.4100036621094,292.54998779296875,292.5199890136719,292.5,292.4700012207031,292.7200012207031,292.9700012207031,293.2200012207031,293.2099914550781,293.20001220703125,293.17999267578125,293.1199951171875,293.04998779296875,292.9800109863281,292.9800109863281,292.989990234375,292.989990234375,292.95001220703125,292.9200134277344,292.8800048828125,292.8500061035156,292.8299865722656,292.79998779296875,292.6700134277344,292.5400085449219,292.3999938964844,291.25,290.0899963378906,288.94000244140625,288.2099914550781,287.489990234375,286.760009765625,287.20001220703125,287.6400146484375,288.07000732421875,287.3699951171875,286.6700134277344
1,292.489990234375,292.2900085449219,292.0899963378906,291.8800048828125,291.7300109863281,291.5899963378906,291.44000244140625,291.3399963378906,291.25,291.1600036621094,291.25,291.3399963378906,291.42999267578125,291.82000732421875,292.2099914550781,292.5899963378906,293.1700134277344,293.75,294.32000732421875,294.2300109863281,294.1499938964844,294.05999755859375,293.6600036621094,293.2699890136719,292.8699951171875,292.8399963378906,292.79998779296875,292.7699890136719,292.7200012207031,292.6600036621094,292.6000061035156,292.489990234375,292.3699951171875,292.260009765625,292.05999755859375,291.8699951171875,291.67999267578125,290.4800109863281,289.2799987792969,288.0799865722656,287.80999755859375,287.5299987792969,287.260009765625,287.3900146484375,287.5199890136719,287.6499938964844,286.510009765625,285.3699951171875
2,292.94000244140625,292.82000732421875,292.7099914550781,292.5899963378906,292.510009765625,292.44000244140625,292.3699951171875,292.2900085449219,292.2200012207031,292.1400146484375,292.2799987792969,292.4100036621094,292.54998779296875,292.5199890136719,292.5,292.4700012207031,292.7200012207031,292.9700012207031,293.2200012207031,293.2099914550781,293.20001220703125,293.17999267578125,293.1199951171875,293.04998779296875,292.9800109863281,292.9800109863281,292.989990234375,292.989990234375,292.95001220703125,292.9200134277344,292.8800048828125,292.8500061035156,292.8299865722656,292.79998779296875,292.6700134277344,292.5400085449219,292.3999938964844,291.25,290.0899963378906,288.94000244140625,288.2099914550781,287.489990234375,286.760009765625,287.20001220703125,287.6400146484375,288.07000732421875,287.3699951171875,286.6700134277344
3,292.94000244140625,292.82000732421875,292.7099914550781,292.5899963378906,292.510009765625,292.44000244140625,292.3699951171875,292.2900085449219,292.2200012207031,292.1400146484375,292.2799987792969,292.4100036621094,292.54998779296875,292.5199890136719,292.5,292.4700012207031,292.7200012207031,292.9700012207031,293.2200012207031,293.2099914550781,293.20001220703125,293.17999267578125,293.1199951171875,293.04998779296875,292.9800109863281,292.9800109863281,292.989990234375,292.989990234375,292.95001220703125,292.9200134277344,292.8800048828125,292.8500061035156,292.8299865722656,292.79998779296875,292.6700134277344,292.5400085449219,292.3999938964844,291.25,290.0899963378906,288.94000244140625,288.2099914550781,287.489990234375,286.760009765625,287.20001220703125,287.6400146484375,288.07000732421875,287.3699951171875,286.6700134277344
4,292.489990234375,292.2900085449219,292.0899963378906,291.8800048828125,291.7300109863281,291.5899963378906,291.44000244140625,291.3399963378906,291.25,291.1600036621094,291.25,291.3399963378906,291.42999267578125,291.82000732421875,292.2099914550781,292.5899963378906,293.1700134277344,293.75,294.32000732421875,294.2300109863281,294.1499938964844,294.05999755859375,293.6600036621094,293.2699890136719,292.8699951171875,292.8399963378906,292.79998779296875,292.7699890136719,292.7200012207031,292.6600036621094,292.6000061035156,292.489990234375,292.3699951171875,292.260009765625,292.05999755859375,291.8699951171875,291.67999267578125,290.4800109863281,289.2799987792969,288.0799865722656,287.80999755859375,287.5299987792969,287.260009765625,287.3900146484375,287.5199890136719,287.6499938964844,286.510009765625,285.3699951171875
5,292.79998779296875,292.6600036621094,292.5299987792969,292.3900146484375,292.29998779296875,292.2099914550781,292.1199951171875,292.0400085449219,291.95001220703125,291.8699951171875,292.0,292.1199951171875,292.25,292.30999755859375,292.3599853515625,292.4200134277344,292.75,293.0799865722656,293.4100036621094,293.3800048828125,293.3500061035156,293.3299865722656,293.17999267578125,293.0299987792969,292.8900146484375,292.8800048828125,292.8599853515625,292.8500061035156,292.82000732421875,292.7900085449219,292.75,292.7099914550781,292.6600036621094,292.6099853515625,292.5400085449219,292.4800109863281,292.4200134277344,291.2699890136719,290.1199951171875,288.9700012207031,288.2099914550781,287.45001220703125,286.69000244140625,287.19000244140625,287.69000244140625,288.17999267578125,287.3699951171875,286.55999755859375
6,292.5799865722656,292.4100036621094,292.2300109863281,292.04998779296875,291.9200134277344,291.79998779296875,291.6700134277344,291.5799865722656,291.489990234375,291.3999938964844,291.5,291.6099853515625,291.7099914550781,291.9700012207031,292.2300109863281,292.489990234375,292.9800109863281,293.4599914550781,293.95001220703125,293.8800048828125,293.82000732421875,293.75,293.45001220703125,293.1499938964844,292.8500061035156,292.82000732421875,292.7900085449219,292.7699890136719,292.7200012207031,292.6700134277344,292.6300048828125,292.5400085449219,292.45001220703125,292.3599853515625,292.239990234375,292.1199951171875,292.0,290.82000732421875,289.6400146484375,288.4599914550781,287.9700012207031,287.4800109863281,286.9800109863281,287.2900085449219,287.5899963378906,287.8900146484375,286.8699951171875,285.8500061035156
7,292.94000244140625,292.82000732421875,292.7099914550781,292.5899963378906,292.510009765625,292.44000244140625,292.3699951171875,292.2900085449219,292.2200012207031,292.1400146484375,292.2799987792969,292.4100036621094,292.54998779296875,292.5199890136719,292.5,292.4700012207031,292.7200012207031,292.9700012207031,293.2200012207031,293.2099914550781,293.20001220703125,293.17999267578125,293.1199951171875,293.04998779296875,292.9800109863281,292.9800109863281,292.989990234375,292.989990234375,292.95001220703125,292.9200134277344,292.8800048828125,292.8500061035156,292.8299865722656,292.79998779296875,292.6700134277344,292.5400085449219,292.3999938964844,291.25,290.0899963378906,288.94000244140625,288.2099914550781,287.489990234375,286.760009765625,287.20001220703125,287.6400146484375,288.07000732421875,287.3699951171875,286.6700134277344
8,292.489990234375,292.2900085449219,292.0899963378906,291.8800048828125,291.7300109863281,291.5899963378906,291.44000244140625,291.3399963378906,291.25,291.1600036621094,291.25,291.3399963378906,291.42999267578125,291.82000732421875,292.2099914550781,292.5899963378906,293.1700134277344,293.75,294.32000732421875,294.2300109863281,294.1499938964844,294.05999755859375,293.6600036621094,293.2699890136719,292.8699951171875,292.8399963378906,292.79998779296875,292.7699890136719,292.7200012207031,292.6600036621094,292.6000061035156,292.489990234375,292.3699951171875,292.260009765625,292.05999755859375,291.8699951171875,291.67999267578125,290.4800109863281,289.2799987792969,288.0799865722656,287.80999755859375,287.5299987792969,287.260009765625,287.3900146484375,287.5199890136719,287.6499938964844,286.510009765625,285.3699951171875
9,292.94000244140625,292.82000732421875,292.7099914550781,292.5899963378906,292.510009765625,292.44000244140625,292.3699951171875,292.2900085449219,292.2200012207031,292.1400146484375,292.2799987792969,292.4100036621094,292.54998779296875,292.5199890136719,292.5,292.4700012207031,292.7200012207031,292.9700012207031,293.2200012207031,293.2099914550781,293.20001220703125,293.17999267578125,293.1199951171875,293.04998779296875,292.9800109863281,292.9800109863281,292.989990234375,292.989990234375,292.95001220703125,292.9200134277344,292.8800048828125,292.8500061035156,292.8299865722656,292.79998779296875,292.6700134277344,292.5400085449219,292.3999938964844,291.25,290.0899963378906,288.94000244140625,288.2099914550781,287.489990234375,286.760009765625,287.20001220703125,287.6400146484375,288.07000732421875,287.3699951171875,286.6700134277344
10,292.94000244140625,292.82000732421875,292.7099914550781,292.5899963378906,292.510009765625,292.44000244140625,292.3699951171875,292.2900085449219,292.2200012207031,292.1400146484375,292.2799987792969,292.4100036621094,292.54998779296875,292.5199890136719,292.5,292.4700012207031,292.7200012207031,292.9700012207031,293.2200012207031,293.2099914550781,293.20001220703125,293.17999267578125,293.1199951171875,293.04998779296875,292.9800109863281,292.9800109863281,292.989990234375,292.989990234375,292.95001220703125,292.9200134277344,292.8800048828125,292.8500061035156,292.8299865722656,292.79998779296875,292.6700134277344,292.5400085449219,292.3999938964844,291.25,290.0899963378906,288.94000244140625,288.2099914550781,287.489990234375,286.760009765625,287.20001220703125,287.6400146484375,288.07000732421875,287.3699951171875,286.6700134277344
11,293.0199890136719,292.9100036621094,292.80999755859375,292.70001220703125,292.6199951171875,292.54998779296875,292.4800109863281,292.4100036621094,292.3399963378906,292.2699890136719,292.4100036621094,292.54998779296875,292.67999267578125,292.6499938964844,292.6099853515625,292.5799865722656,292.80999755859375,293.0299987792969,293.260009765625,293.25,293.2300109863281,293.2200012207031,293.17999267578125,293.1300048828125,293.0899963378906,293.1000061035156,293.1099853515625,293.1199951171875,293.0799865722656,293.0299987792969,292.989990234375,292.9700012207031,292.95001220703125,292.92999267578125,292.7099914550781,292.5,292.2799987792969,291.1099853515625,289.92999267578125,288.760009765625,288.1600036621094,287.55999755859375,286.9700012207031,287.2799987792969,287.5899963378906,287.8999938964844,287.2300109863281,286.55999755859375
12,292.5799865722656,292.4100036621094,292.2300109863281,292.04998779296875,291.9200134277344,291.79998779296875,291.6700134277344,291.5799865722656,291.489990234375,291.3999938964844,291.5,291.6099853515625,291.7099914550781,291.9700012207031,292.2300109863281,292.489990234375,292.9800109863281,293.4599914550781,293.95001220703125,293.8800048828125,293.82000732421875,293.75,293.45001220703125,293.1499938964844,292.8500061035156,292.82000732421875,292.7900085449219,292.7699890136719,292.7200012207031,292.6700134277344,292.6300048828125,292.5400085449219,292.45001220703125,292.3599853515625,292.239990234375,292.1199951171875,292.0,290.82000732421875,289.6400146484375,288.4599914550781,287.9700012207031,287.4800109863281,286.9800109863281,287.2900085449219,287.5899963378906,287.8900146484375,286.8699951171875,285.8500061035156
13,293.0199890136719,292.9100036621094,292.80999755859375,292.70001220703125,292.6199951171875,292.54998779296875,292.4800109863281,292.4100036621094,292.3399963378906,292.2699890136719,292.4100036621094,292.54998779296875,292.67999267578125,292.6499938964844,292.6099853515625,292.5799865722656,292.80999755859375,293.0299987792969,293.260009765625,293.25,293.2300109863281,293.2200012207031,293.17999267578125,293.1300048828125,293.0899963378906,293.1000061035156,293.1099853515625,293.1199951171875,293.0799865722656,293.0299987792969,292.989990234375,292.9700012207031,292.95001220703125,292.92999267578125,292.7099914550781,292.5,292.2799987792969,291.1099853515625,289.92999267578125,288.760009765625,288.1600036621094,287.55999755859375,286.9700012207031,287.2799987792969,287.5899963378906,287.8999938964844,287.2300109863281,286.55999755859375
