dataset_name,model_name,model_label,checkpoint,node_order,node_id,mae,mse,n_samples
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,99,100,1.0214813,1.9340992,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,100,101,1.102139,2.3015704,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,101,102,0.8698515,1.404152,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,102,103,0.9963466,1.7875665,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,103,104,1.038715,1.9047137,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,104,105,1.2538257,3.1728156,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,105,106,0.8814143,1.4509815,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,106,107,1.0968031,2.4781814,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,107,108,0.938454,1.7467667,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,108,109,1.1398437,2.3917432,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,109,110,1.045117,1.8638505,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,110,111,1.1220007,2.5430183,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,111,112,1.0999871,2.1848521,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,112,113,1.308337,2.942171,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,113,114,1.0423005,1.9974304,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,114,115,1.0782708,1.999344,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,115,116,1.4934775,4.0817366,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,116,117,1.1993036,2.8734791,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,117,118,0.82304543,1.1787536,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,118,119,0.941125,1.5731928,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,119,120,0.8281597,1.2565777,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,120,121,1.1120423,2.392047,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,121,122,1.0734253,2.1182373,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,122,123,1.0723722,2.2458556,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,123,124,1.0197232,2.2292445,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,124,125,0.7684326,1.09703,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,125,126,0.7754016,1.062407,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,126,127,0.7564833,1.1052462,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,127,128,0.7876603,1.1390685,1752
