id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,84.33333333333333,87.66666666666667,89.33333333333333,91.66666666666667,92.66666666666667,93.33333333333333,93.33333333333333,94.0,94.66666666666667,93.66666666666667,93.0,94.0,92.0,85.33333333333333,76.66666666666667,71.0,67.66666666666667,67.66666666666667,66.66666666666667,78.0,77.0,69.66666666666667,72.0,71.33333333333333
2,65.66666666666667,67.66666666666667,84.66666666666667,84.0,85.0,83.66666666666667,85.0,85.66666666666667,85.66666666666667,86.0,87.0,90.0,90.0,86.0,78.0,68.33333333333333,59.0,62.0,66.66666666666667,66.0,64.0,67.0,67.66666666666667,70.33333333333333
3,59.0,61.0,65.0,63.0,63.0,63.0,68.0,70.0,70.0,70.0,63.0,70.0,70.0,66.0,68.0,65.0,65.0,64.0,64.0,64.0,60.0,62.0,59.0,59.0
4,80.0,79.0,88.0,85.0,88.0,87.0,90.0,90.0,94.0,94.0,97.0,94.0,88.0,80.0,72.0,65.0,58.0,66.0,68.0,77.0,74.0,77.0,72.0,77.0
5,67.0,74.0,79.0,82.0,85.0,85.0,88.0,88.0,88.0,90.0,90.0,93.0,90.0,82.0,72.0,63.0,59.0,58.0,68.0,63.0,94.0,85.0,79.0,74.0
6,85.0,82.0,82.0,84.0,90.0,90.0,87.0,87.0,87.0,90.0,90.0,90.0,87.0,77.0,70.0,65.0,56.0,52.0,54.0,82.0,82.0,70.0,79.0,77.0
7,94.0,94.0,100.0,100.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,80.0,77.0,87.0,82.0,79.0,68.0,63.0,62.0,72.0,74.0
8,82.0,85.0,88.0,90.0,90.0,94.0,94.0,94.0,97.0,100.0,96.0,97.0,94.0,87.0,79.0,67.0,59.0,56.0,54.0,52.0,70.0,74.0,77.0,68.0
9,71.33333333333333,74.33333333333333,77.0,87.33333333333333,86.33333333333333,88.66666666666667,87.0,86.66666666666667,86.0,88.0,91.0,88.1111111111111,88.0,85.0,88.0,81.33333333333333,81.0,70.0,69.0,70.33333333333333,70.33333333333333,69.0,69.33333333333333,72.33333333333333
10,70.0,70.0,74.0,82.0,79.0,79.0,85.0,82.0,77.0,85.0,82.0,82.0,84.0,85.0,82.0,77.0,75.0,70.0,59.0,61.0,64.0,61.0,65.0,68.0
11,83.0,93.0,86.33333333333333,90.66666666666667,91.0,92.66666666666667,20.0,95.33333333333333,95.33333333333333,92.66666666666667,93.33333333333333,93.33333333333333,19.0,96.0,90.0,73.0,70.0,64.0,80.0,59.0,72.0,70.0,65.0,70.0
12,74.0,86.0,90.0,90.0,90.0,91.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,90.0,90.0,91.0,68.0,56.0,48.0,47.0,44.0,41.0,43.0,65.0
