station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,54.13999999999999,54.13999999999999,54.02,53.0,51.800000000000004,50.12,48.79999999999999,46.63999999999999,45.86000000000001,44.660000000000004,43.22,41.66,40.76,42.26,45.080000000000005,47.839999999999996,50.6,53.419999999999995,55.879999999999995,56.18000000000001,57.14000000000001,56.18000000000001,53.419999999999995,47.839999999999996
69052,51.080000000000005,49.160000000000004,46.52,44.96,45.02,43.1,41.18000000000001,41.0,39.2,39.38,39.14,38.72,37.58,37.94,41.42,44.42000000000001,46.94,50.0,52.64000000000001,54.14000000000001,55.52,55.099999999999994,52.88,48.98
72201,80.96,80.06,80.06,80.06,80.06,80.06,80.06,78.98,78.08,77.0,75.92,75.92,75.92,75.92,75.02,75.02,75.92,75.92,75.02,75.02,75.02,73.94,71.96,71.06
72202,77.0,77.0,77.0,75.92,75.02,75.02,75.02,73.94,73.04,71.06,69.08,68.0,68.0,66.92,68.0,66.92,68.0,69.08,69.08,69.98,71.06,69.08,68.0,66.02
72203,75.02,73.94,73.04,73.04,71.06,69.98,69.08,66.92,66.92,64.94,64.04,62.059999999999995,60.980000000000004,60.980000000000004,60.980000000000004,62.959999999999994,66.92,66.02,68.0,68.0,66.02,64.04,62.059999999999995,59.0
72204,68.0,68.0,66.92,66.02,66.02,64.94,60.08,60.08,57.92,55.94,53.96,53.06,51.98,51.98,55.04,59.0,59.0,60.980000000000004,62.959999999999994,64.04,64.04,62.959999999999994,60.980000000000004,57.02
72205,66.02,64.04,62.059999999999995,59.0,60.08,60.08,59.0,57.02,55.04,53.06,51.98,51.08,48.92,50.0,51.08,53.06,55.94,57.92,60.08,62.059999999999995,62.059999999999995,62.059999999999995,60.08,53.96
72206,53.96,53.96,53.06,51.08,50.0,48.02,46.94,44.96,44.06,42.980000000000004,42.08,39.92,39.02,41.0,44.96,48.02,51.08,53.96,55.94,55.94,55.94,55.94,53.96,46.94
72210,67.64,65.54,65.24,65.48,64.22000000000001,63.68,60.73999999999999,58.879999999999995,57.31999999999999,55.220000000000006,53.9,52.46,51.44,51.38,52.04,54.02,56.6,59.18000000000001,60.74,62.06,62.48,61.279999999999994,58.94,55.88
72211,66.92,64.94,64.04,64.04,62.959999999999994,62.059999999999995,59.0,57.02,55.94,53.06,53.06,51.98,50.0,50.0,51.08,53.96,57.02,60.08,62.059999999999995,62.959999999999994,62.959999999999994,60.980000000000004,59.0,53.96
72212,54.32,53.96,52.34,51.8,48.379999999999995,47.120000000000005,44.78,44.06,43.7,41.72,38.48,38.48,37.76,39.38,41.72,47.3,51.620000000000005,54.5,57.379999999999995,58.1,58.1,56.84,54.5,46.76
72213,52.7,49.46,48.379999999999995,46.94,45.68,45.86,43.519999999999996,42.260000000000005,41.0,39.2,38.660000000000004,38.3,37.58,39.74,42.620000000000005,45.14,48.2,51.26,53.06,54.5,54.32,53.96,51.44,46.76
72214,53.06,50.0,48.92,48.92,46.94,46.04,46.04,44.06,42.08,41.0,39.02,37.94,35.96,35.96,42.08,46.04,48.92,48.92,51.98,53.96,55.04,55.04,53.96,50.0
72220,55.04,53.06,51.08,50.0,48.02,48.02,46.04,44.96,44.96,42.980000000000004,41.0,41.0,41.0,42.08,46.04,48.92,51.08,53.06,53.96,55.94,55.94,55.94,55.04,50.0
72221,49.28,47.48,44.6,42.620000000000005,42.620000000000005,41.0,39.56,38.48,36.86,35.78,37.58,37.4,36.14,35.78,40.1,43.7,46.58,49.82,51.8,54.14,55.76,55.76,53.24,48.02
72222,51.08,48.92,46.04,42.980000000000004,42.8,42.980000000000004,42.08,39.2,39.02,39.2,39.02,37.94,37.94,37.94,46.4,46.04,48.02,50.0,53.06,55.04,55.94,55.94,53.96,48.02
74756,53.96,55.94,55.04,51.98,51.08,48.02,46.94,46.04,44.06,44.06,42.08,41.0,39.92,41.0,42.08,46.94,51.08,53.96,55.94,57.92,57.92,57.02,53.96,44.96
74775,54.68,53.06,51.8,50.36,48.56,47.66,46.76,45.5,44.06,43.34,42.620000000000005,42.260000000000005,41.72,41.72,43.879999999999995,46.04,49.28,51.620000000000005,52.879999999999995,54.5,55.58,55.58,54.5,50.54
74776,50.0,48.02,46.04,44.96,44.06,44.06,42.980000000000004,42.08,41.0,39.02,37.94,37.94,37.04,37.04,42.08,44.06,46.94,48.92,51.08,53.06,53.96,53.96,51.98,48.02
74777,50.9,48.92,44.96,44.239999999999995,44.42,42.260000000000005,39.02,40.46,37.76,39.38,37.76,37.76,36.68,37.04,41.18,44.6,47.3,50.18,53.06,54.32,54.86,54.5,52.34,48.92
74781,51.620000000000005,50.0,48.2,46.4,46.4,44.6,44.78,42.8,39.14,37.94,37.580000000000005,36.98,36.13999999999999,37.1,40.580000000000005,48.2,47.48,49.82,51.620000000000005,53.6,53.96,53.24,50.9,45.68
74782,57.02,57.92,55.94,53.96,53.06,51.08,50.0,48.02,46.94,44.96,44.06,42.08,42.08,42.980000000000004,46.04,48.02,50.0,53.06,55.04,55.94,55.94,55.94,53.96,51.08
74783,77.0,77.0,77.0,75.92,75.92,73.94,73.04,73.04,71.96,69.08,68.0,66.92,66.02,66.92,66.02,69.08,68.0,69.08,69.98,71.06,69.98,69.08,66.92,62.959999999999994
74787,62.059999999999995,60.980000000000004,60.08,59.0,57.92,57.02,53.96,51.98,51.08,50.0,48.92,48.02,46.04,46.94,48.92,51.98,53.96,57.02,59.0,59.0,60.08,59.0,57.02,53.06
74788,66.92,65.3,65.3,65.12,64.04,63.5,60.26,58.459999999999994,56.48,54.14,52.879999999999995,51.44,50.36,50.18,52.16,53.42,57.379999999999995,59.540000000000006,61.34,62.6,62.78,61.16,58.82,55.22
74793,69.08,66.92,66.02,64.04,64.04,62.059999999999995,60.08,57.92,55.94,53.96,51.98,51.08,50.0,50.0,51.98,53.96,57.02,59.0,60.08,62.059999999999995,62.059999999999995,62.059999999999995,60.08,57.02
74794,67.1,65.12,63.86,64.75999999999999,65.48,62.78,62.6,60.26,58.28,56.3,54.86,52.879999999999995,51.8,52.16,54.32,56.3,57.2,58.28,60.26,61.519999999999996,61.88,61.16,59.0,56.48
74795,68.18,67.46,66.92,66.74000000000001,66.02,66.02,64.75999999999999,62.959999999999994,60.980000000000004,59.18,56.66,54.86,53.6,53.78,55.76,56.66,57.56,59.0,60.8,62.059999999999995,62.6,62.059999999999995,59.9,57.02
74796,70.58,67.52,65.96000000000001,64.7,64.4,63.5,61.699999999999996,60.080000000000005,58.46,56.839999999999996,54.919999999999995,53.18,51.20000000000001,52.46,54.26,55.879999999999995,58.879999999999995,60.68000000000001,62.6,62.96,62.72,62.35999999999999,60.68,54.919999999999995
