id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,54.68,54.14000000000001,52.22,51.68,50.35999999999999,49.81999999999999,49.81999999999999,49.16,50.660000000000004,51.080000000000005,49.879999999999995,49.52,48.20000000000001,48.56,57.199999999999996,61.22,63.919999999999995,65.12,65.72,66.68,65.71999999999998,64.82000000000001,62.35999999999999,58.04
2,50.96,52.04,51.32,48.14000000000001,47.599999999999994,47.120000000000005,46.04,45.74,45.86000000000001,45.31999999999999,45.32,45.14000000000001,45.26,45.98,49.64000000000001,52.879999999999995,55.879999999999995,59.54,61.76000000000001,62.36000000000001,63.379999999999995,63.5,62.12,59.6
3,69.98,69.98,69.98,69.98,69.08,69.08,69.08,68.0,68.0,69.08,69.08,69.08,68.0,69.08,71.06,71.96,73.04,75.02,75.92,75.92,77.0,77.0,75.02,73.94
4,69.98,69.08,66.92,66.02,64.94,64.94,64.04,64.04,64.04,64.04,64.04,62.959999999999994,62.959999999999994,64.94,66.92,73.04,73.94,73.94,73.94,75.02,73.94,75.02,73.94,73.04
5,60.980000000000004,60.980000000000004,60.08,59.0,60.08,60.980000000000004,59.0,60.08,60.08,60.08,60.08,60.08,59.0,60.08,62.959999999999994,71.96,73.04,75.02,75.02,75.02,73.94,73.94,73.04,71.96
6,60.08,57.02,55.94,55.04,55.04,53.96,53.06,53.06,51.98,53.06,53.06,53.06,53.96,59.0,62.959999999999994,69.08,71.96,73.94,75.02,75.02,73.04,71.96,69.08,66.92
7,60.08,60.08,57.02,57.02,55.04,51.98,51.98,51.08,53.96,53.06,53.06,53.06,53.96,55.04,60.08,64.94,69.08,71.06,73.04,71.96,71.96,73.94,69.98,66.92
8,53.96,50.0,48.02,46.94,46.04,46.04,44.96,44.06,42.980000000000004,42.980000000000004,42.980000000000004,41.0,41.0,42.08,48.92,55.04,62.059999999999995,62.959999999999994,66.02,66.92,66.92,66.02,60.08,53.96
9,63.919999999999995,60.98,58.879999999999995,57.419999999999995,55.379999999999995,54.64000000000001,54.64000000000001,53.38,53.74,53.35999999999999,53.46,52.26,51.75999999999999,53.160000000000004,58.0,60.85999999999999,64.64,68.42,70.28,70.94,71.42,71.24,69.5,66.8
10,66.02,60.980000000000004,60.08,60.08,59.0,57.92,57.92,57.02,55.94,53.96,53.96,53.96,53.96,53.96,57.92,62.059999999999995,66.92,69.98,71.96,71.96,73.04,73.04,71.96,68.0
