id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,86.0,87.0,89.0,89.33333333333333,92.66666666666667,92.33333333333333,94.66666666666667,93.66666666666667,94.33333333333333,94.33333333333333,94.66666666666667,96.0,93.0,82.66666666666667,75.66666666666667,68.66666666666667,63.666666666666664,61.0,57.666666666666664,57.0,57.0,75.0,81.33333333333333,86.0
2,69.0,71.66666666666667,71.33333333333333,73.0,71.33333333333333,72.33333333333333,79.33333333333333,72.0,76.66666666666667,78.33333333333333,81.0,81.66666666666667,81.33333333333333,77.66666666666667,71.33333333333333,72.66666666666667,70.66666666666667,62.333333333333336,65.33333333333333,68.66666666666667,66.0,64.33333333333333,67.66666666666667,70.66666666666667
3,68.0,70.0,70.0,59.0,61.0,61.0,67.0,65.0,67.0,74.0,72.0,72.0,77.0,70.0,70.0,68.0,64.0,64.0,64.0,60.0,61.0,61.0,62.0,61.0
4,72.0,74.0,80.0,80.0,74.0,82.0,79.0,77.0,79.0,82.0,85.0,77.0,74.0,75.0,75.0,72.0,65.0,59.0,62.0,63.0,61.0,63.0,68.0,70.0
5,74.0,77.0,77.0,82.0,79.0,79.0,82.0,85.0,85.0,85.0,85.0,82.0,79.0,74.0,75.0,70.0,68.0,65.0,70.0,66.0,68.0,70.0,70.0,74.0
6,63.0,68.0,70.0,74.0,74.0,74.0,82.0,85.0,85.0,88.0,88.0,90.0,88.0,72.0,68.0,65.0,64.0,61.0,64.0,61.0,62.0,65.0,65.0,68.0
7,74.0,74.0,79.0,85.0,88.0,88.0,90.0,93.0,93.0,96.0,100.0,94.0,100.0,85.0,77.0,70.0,57.0,56.0,49.0,47.0,48.0,51.0,70.0,80.0
8,96.0,91.0,94.0,96.0,96.0,96.0,100.0,97.0,100.0,100.0,100.0,96.0,96.0,88.0,79.0,70.0,61.0,59.0,52.0,49.0,60.0,63.0,61.0,63.0
9,77.66666666666667,80.0,80.0,81.0,86.33333333333333,88.0,89.33333333333333,87.33333333333333,85.66666666666667,86.0,89.66666666666667,87.44444444444444,87.0,83.33333333333333,81.0,72.66666666666667,67.33333333333333,61.0,60.0,57.333333333333336,57.0,56.666666666666664,64.66666666666667,68.66666666666667
10,79.0,88.0,84.0,88.0,88.0,90.0,91.0,90.0,90.0,90.0,94.0,94.0,94.0,90.0,85.0,79.0,70.0,63.0,74.0,63.0,63.0,59.0,59.0,56.0
11,96.0,83.33333333333333,85.0,85.66666666666667,87.33333333333333,88.66666666666667,21.0,92.0,92.66666666666667,93.66666666666667,95.0,95.33333333333333,21.0,96.0,81.0,70.0,66.0,63.0,65.0,63.0,62.0,60.0,77.0,73.0
12,90.0,90.0,90.0,90.0,90.0,90.0,91.0,90.0,90.0,90.0,90.0,90.0,91.0,90.0,90.0,87.0,68.0,54.0,50.0,47.0,82.0,67.0,47.0,56.0
13,90.0,97.0,96.0,96.0,96.0,96.0,97.0,97.0,96.0,96.0,96.0,96.0,97.0,94.0,88.0,79.0,63.0,59.0,54.0,57.0,74.0,79.0,87.0,79.0
14,82.0,85.0,85.0,93.0,91.0,94.0,94.0,88.0,90.0,91.0,96.0,100.0,100.0,82.0,72.0,72.0,68.0,70.0,72.0,77.0,75.0,68.0,72.0,80.0
15,72.0,74.0,73.0,73.0,74.0,75.0,79.33333333333333,74.0,86.0,89.0,88.0,93.0,89.0,86.0,86.0,79.0,82.0,71.0,74.0,72.0,71.0,68.0,69.0,73.0
16,74.0,74.0,77.0,74.0,94.0,94.66666666666667,93.66666666666667,93.66666666666667,93.66666666666667,98.0,98.66666666666667,94.0,90.0,85.0,85.0,75.0,90.0,85.0,79.0,87.0,85.0,90.0,87.0,87.0
17,82.0,88.0,85.0,85.0,90.0,88.0,88.0,88.0,90.0,87.0,90.0,90.0,88.0,82.0,74.0,68.0,61.0,56.0,52.0,54.0,49.0,58.0,79.0,82.0
18,77.0,79.0,80.0,79.0,81.0,86.0,94.66666666666667,94.0,95.0,94.0,89.0,94.0,95.0,90.0,94.0,91.0,81.0,83.0,74.0,71.0,76.0,77.0,75.0,79.0
19,87.0,94.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,100.0,96.0,96.0,93.0,88.0,82.0,70.0,61.0,67.0,96.0,91.0,94.0,94.0,93.0
20,65.0,67.0,67.0,69.0,68.0,68.0,70.0,68.0,65.0,67.0,73.0,78.0,76.0,75.0,67.0,65.0,58.0,49.0,57.0,60.0,59.0,60.0,66.0,69.0
21,92.0,98.0,98.0,95.0,99.0,98.0,94.0,97.0,98.0,100.0,100.0,100.0,100.0,87.0,80.0,75.0,68.0,63.0,60.0,55.0,54.0,52.0,66.0,87.0
22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,82.0,72.0,68.0,75.0,73.0,68.0,63.0,70.0,80.0
23,80.0,77.0,85.0,80.0,82.0,88.0,90.0,85.0,85.0,82.0,82.0,82.0,77.0,75.0,75.0,70.0,68.0,61.0,70.0,72.0,70.0,73.0,72.0,77.0
24,79.0,85.0,82.0,87.0,94.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,97.0,88.0,77.0,70.0,63.0,73.0,70.0,72.0,70.0,77.0,77.0,77.0
