station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,84.66666666666667,87.0,90.0,91.0,94.0,94.33333333333333,92.66666666666667,94.66666666666667,95.66666666666667,96.0,94.0,94.66666666666667,94.0,86.66666666666667,77.33333333333333,72.33333333333333,64.66666666666667,67.66666666666667,63.0,57.666666666666664,55.666666666666664,54.333333333333336,53.666666666666664,66.33333333333333
69052,75.0,73.33333333333333,71.0,74.33333333333333,76.66666666666667,78.0,79.0,79.66666666666667,79.66666666666667,81.66666666666667,79.0,79.33333333333333,81.33333333333333,78.0,79.0,86.66666666666667,88.33333333333333,79.0,76.0,69.66666666666667,66.0,64.66666666666667,69.0,78.0
72201,74.0,70.0,72.0,75.0,75.0,75.0,75.0,76.0,77.0,76.0,79.0,79.0,79.0,70.0,70.0,66.0,62.0,70.0,79.0,79.0,79.0,74.0,70.0,70.0
72202,74.0,74.0,80.0,77.0,82.0,77.0,85.0,96.0,88.0,90.0,93.0,94.0,90.0,82.0,82.0,75.0,68.0,68.0,68.0,59.0,65.0,59.0,61.0,70.0
72203,77.0,72.0,77.0,79.0,82.0,79.0,82.0,82.0,79.0,82.0,82.0,85.0,77.0,72.0,72.0,68.0,66.0,68.0,68.0,63.0,63.0,66.0,70.0,72.0
72204,65.0,65.0,72.0,72.0,74.0,79.0,85.0,85.0,85.0,84.0,88.0,88.0,85.0,77.0,68.0,63.0,65.0,61.0,64.0,64.0,64.0,61.0,68.0,65.0
72205,68.0,72.0,74.0,82.0,87.0,94.0,94.0,90.0,94.0,100.0,100.0,97.0,96.0,85.0,74.0,67.0,59.0,49.0,50.0,47.0,40.0,41.0,52.0,68.0
72206,96.0,96.0,96.0,90.0,94.0,97.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,93.0,82.0,74.0,63.0,59.0,54.0,52.0,51.0,64.0,65.0,72.0
72210,68.33333333333333,77.33333333333333,79.33333333333333,77.0,83.33333333333333,81.33333333333333,89.33333333333333,89.0,90.66666666666667,91.33333333333333,89.8888888888889,88.44444444444444,88.33333333333333,84.66666666666667,79.0,75.33333333333333,68.33333333333333,62.55555555555555,57.666666666666664,58.666666666666664,57.0,61.0,63.0,65.33333333333333
72211,77.0,79.0,82.0,79.0,79.0,82.0,80.0,94.0,85.0,87.0,82.0,82.0,82.0,77.0,75.0,72.0,63.0,62.0,56.0,56.0,54.0,58.0,58.0,59.0
72212,89.0,94.0,97.0,97.0,100.0,93.33333333333333,20.0,94.33333333333333,91.66666666666667,92.0,93.33333333333333,94.33333333333333,20.0,93.0,84.0,73.0,63.0,61.0,61.0,56.0,56.0,58.0,62.0,71.0
72213,90.0,90.0,91.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,84.0,70.0,57.0,53.0,49.0,42.0,40.0,56.0,72.0
72214,85.0,91.0,90.0,94.0,96.0,96.0,96.0,94.0,97.0,97.0,96.0,94.0,94.0,94.0,82.0,70.0,66.0,61.0,85.0,90.0,85.0,65.0,70.0,74.0
72220,77.0,82.0,97.0,100.0,100.0,96.0,96.0,100.0,85.0,88.0,97.0,100.0,100.0,96.0,94.0,75.0,75.0,72.0,78.0,75.0,72.0,75.0,75.0,67.0
72221,78.0,76.0,78.0,77.0,79.0,82.0,83.0,83.0,83.0,85.0,83.0,84.0,90.0,84.0,86.0,87.0,91.0,79.0,79.0,73.0,66.0,65.0,72.0,76.0
72222,77.0,77.0,79.0,82.0,91.66666666666667,90.33333333333333,91.66666666666667,92.33333333333333,94.33333333333333,94.0,95.66666666666667,97.0,93.0,99.33333333333333,94.0,91.0,94.0,82.0,79.0,79.0,77.0,74.0,74.0,85.33333333333333
74756,88.0,84.0,88.0,88.0,88.0,88.0,88.0,90.0,88.0,88.0,91.0,88.0,88.0,82.0,74.0,66.0,59.0,59.0,52.0,52.0,48.0,46.0,57.0,74.0
74775,83.0,92.0,95.0,94.0,96.0,97.0,98.0,96.0,96.0,95.0,88.0,84.0,95.0,77.0,74.0,76.0,72.0,85.0,82.0,86.0,78.0,75.0,75.0,81.0
74776,87.0,93.0,93.0,96.0,100.0,97.0,97.0,97.0,96.0,97.0,96.0,100.0,96.0,94.0,85.0,75.0,74.0,74.0,94.0,90.0,79.0,80.0,72.0,77.0
74777,70.0,72.0,65.0,69.0,72.0,73.0,72.0,74.0,74.0,75.0,75.0,75.0,75.0,73.0,74.0,79.0,80.0,76.0,72.0,62.0,60.0,62.0,65.0,84.0
74781,76.0,80.0,82.0,93.0,91.0,95.0,94.0,96.0,96.0,96.0,98.0,98.0,97.0,89.0,77.0,70.0,65.0,61.0,54.0,56.0,58.0,54.0,60.0,70.0
74782,91.0,97.0,97.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,80.0,70.0,66.0,64.0,58.0,75.0,73.0,70.0,68.0,63.0
74783,80.0,85.0,82.0,85.0,85.0,85.0,94.0,97.0,97.0,94.0,94.0,90.0,88.0,82.0,85.0,77.0,73.0,70.0,75.0,82.0,73.0,77.0,82.0,80.0
74787,77.0,82.0,87.0,90.0,93.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,77.0,72.0,70.0,68.0,61.0,59.0,54.0,54.0,68.0,68.0
74788,67.0,84.0,87.0,87.0,89.0,83.0,88.0,90.0,90.0,92.0,93.0,92.0,91.0,83.0,78.0,74.0,72.0,66.0,59.0,58.0,53.0,62.0,60.0,64.0
74793,57.0,61.0,70.0,79.0,74.0,79.0,82.0,88.0,88.0,88.0,90.0,93.0,94.0,79.0,74.0,63.0,57.0,54.0,46.0,40.0,38.0,37.0,40.0,65.0
74794,82.0,89.0,92.0,92.0,93.0,93.0,96.0,97.0,97.0,95.0,97.0,97.0,98.0,94.0,82.0,70.0,61.0,55.0,59.0,59.0,56.0,69.0,69.0,75.0
74795,85.0,89.0,93.0,94.0,96.0,98.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,94.0,75.0,79.0,78.0,75.0,74.0,75.0,75.0,73.0,75.0,82.0
74796,63.666666666666664,72.33333333333333,76.33333333333333,83.66666666666667,86.66666666666667,90.0,90.33333333333333,96.0,96.33333333333333,94.33333333333333,94.8888888888889,95.77777777777777,95.33333333333333,90.33333333333333,74.66666666666667,64.0,54.666666666666664,54.0,52.333333333333336,56.0,65.66666666666667,66.0,64.33333333333333,71.66666666666667
DFSW4,78.66666666666667,82.33333333333333,84.33333333333333,86.0,90.0,91.66666666666667,91.66666666666667,92.33333333333333,93.33333333333333,93.66666666666667,94.66666666666667,95.0,95.0,89.0,85.33333333333333,85.33333333333333,82.0,81.33333333333333,72.0,69.33333333333333,70.33333333333333,66.0,68.33333333333333,75.66666666666667
F5PS0,84.66666666666667,88.33333333333333,88.33333333333333,93.0,94.33333333333333,91.66666666666667,93.66666666666667,93.66666666666667,93.0,93.33333333333333,93.0,98.0,93.0,90.66666666666667,82.66666666666667,73.33333333333333,68.66666666666667,63.0,72.33333333333333,78.0,79.33333333333333,79.66666666666667,77.0,78.33333333333333
G93KN,77.33333333333333,86.0,87.66666666666667,90.66666666666667,94.0,94.66666666666667,94.66666666666667,94.66666666666667,94.33333333333333,95.33333333333333,95.0,97.33333333333333,96.0,94.0,89.0,76.33333333333333,72.0,77.33333333333333,81.33333333333333,78.33333333333333,76.33333333333333,75.33333333333333,73.33333333333333,75.0
GDDIA,75.0,75.66666666666667,77.66666666666667,78.33333333333333,80.66666666666667,81.33333333333333,82.33333333333333,82.33333333333333,81.66666666666667,84.0,85.0,84.33333333333333,83.66666666666667,77.33333333333333,76.66666666666667,70.33333333333333,68.0,65.33333333333333,69.0,66.66666666666667,78.66666666666667,77.66666666666667,75.33333333333333,75.66666666666667
INGE8,83.66666666666667,89.33333333333333,89.0,93.0,95.0,92.33333333333333,92.33333333333333,91.66666666666667,94.0,94.33333333333333,93.66666666666667,96.0,93.0,90.66666666666667,82.0,70.33333333333333,67.33333333333333,63.666666666666664,76.0,78.66666666666667,78.0,71.66666666666667,70.66666666666667,75.0
JY84X,76.33333333333333,77.66666666666667,78.66666666666667,80.66666666666667,83.0,81.33333333333333,88.66666666666667,93.33333333333333,90.66666666666667,90.33333333333333,91.33333333333333,91.33333333333333,88.66666666666667,79.66666666666667,80.66666666666667,74.0,69.0,66.66666666666667,68.66666666666667,67.33333333333333,65.66666666666667,65.66666666666667,71.0,72.66666666666667
K0J40,82.0,82.0,82.0,84.0,84.0,88.0,88.0,88.0,90.0,88.0,90.0,91.0,91.0,85.0,77.0,77.0,70.0,70.0,69.0,65.0,65.0,63.0,72.0,77.0
K2CB0,96.0,96.0,98.66666666666667,98.66666666666667,98.66666666666667,98.0,96.0,98.66666666666667,98.66666666666667,96.0,99.0,80.33333333333333,98.55555555555556,89.77777777777777,78.22222222222223,72.33333333333333,62.333333333333336,58.0,53.333333333333336,50.333333333333336,49.0,48.666666666666664,49.666666666666664,65.0
K40J0,78.0,84.0,87.0,91.0,89.0,92.0,93.0,93.0,93.0,94.0,95.0,95.0,95.0,89.0,79.0,75.0,60.0,55.0,51.0,55.0,52.0,57.0,63.0,63.0
K42J0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,84.0,79.0,66.0,63.0,56.0,49.0,49.0,44.0,44.0,70.0
K79J0,85.0,88.0,88.0,88.0,87.0,87.0,90.0,88.0,91.0,88.0,88.0,88.0,87.0,88.0,77.0,68.0,77.0,84.0,84.0,85.0,68.0,65.0,70.0,77.0
KAPF0,79.0,82.0,82.0,85.0,88.0,90.0,90.0,90.0,90.0,90.0,94.0,94.0,90.0,85.0,74.0,68.0,63.0,64.0,66.0,68.0,72.0,82.0,84.0,84.0
KBCT0,74.66666666666667,74.0,77.0,76.66666666666667,79.33333333333333,79.33333333333333,82.0,89.66666666666667,89.0,85.66666666666667,87.0,84.0,78.66666666666667,74.66666666666667,69.33333333333333,67.33333333333333,71.33333333333333,66.0,63.0,62.666666666666664,61.666666666666664,63.0,70.0,70.0
KBGE0,79.0,84.0,84.0,89.0,89.0,84.0,84.0,84.0,89.0,89.0,89.0,94.0,89.0,84.0,79.0,66.0,62.0,56.0,49.0,56.0,70.0,70.0,70.0,74.0
KBIJ0,88.0,88.0,88.0,94.0,94.0,94.0,100.0,100.0,94.0,94.0,94.0,100.0,94.0,94.0,84.0,79.0,70.0,59.0,74.0,88.0,89.0,89.0,89.0,84.0
KBKV0,79.0,85.0,88.0,90.0,93.0,94.0,96.0,97.0,96.0,94.0,96.0,94.0,94.0,85.0,79.0,68.0,59.0,51.0,49.0,54.0,52.0,56.0,59.0,61.0
KBOW0,62.0,76.0,75.66666666666667,84.0,84.0,94.0,91.0,100.0,100.0,93.0,93.66666666666667,95.33333333333333,94.0,100.0,74.0,66.0,59.0,52.0,43.0,44.0,41.0,41.0,36.0,66.0
KBQK0,74.0,78.0,78.0,78.0,84.0,88.0,88.0,84.0,84.0,83.0,88.0,94.0,89.0,74.0,66.0,62.0,66.0,56.0,52.0,49.0,56.0,56.0,62.0,84.0
KCEW0,77.0,82.0,85.0,85.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,88.0,90.0,91.0,84.0,88.0,74.0,74.0,74.0,70.0,65.0,74.0
KCGC0,84.0,89.0,89.0,89.0,94.0,100.0,100.0,100.0,94.0,94.0,94.0,100.0,100.0,84.0,74.0,62.0,59.0,56.0,59.0,70.0,89.0,59.0,62.0,66.0
KCLW0,73.33333333333333,78.33333333333333,81.33333333333333,78.0,79.33333333333333,80.33333333333333,81.66666666666667,87.33333333333333,85.0,85.66666666666667,85.66666666666667,86.66666666666667,88.0,81.33333333333333,77.33333333333333,74.66666666666667,66.33333333333333,61.55555555555555,59.0,58.333333333333336,62.0,62.666666666666664,65.33333333333333,65.0
KCXU0,85.66666666666667,90.66666666666667,89.0,94.33333333333333,92.33333333333333,92.66666666666667,92.66666666666667,92.66666666666667,96.33333333333333,94.33333333333333,96.33333333333333,98.0,94.33333333333333,90.66666666666667,84.0,71.33333333333333,66.0,59.0,55.666666666666664,56.0,64.66666666666667,70.0,74.33333333333333,77.33333333333333
KDED0,70.0,74.0,74.0,79.0,84.0,84.0,84.0,94.0,94.0,94.0,94.0,94.0,94.0,84.0,74.0,70.0,62.0,52.0,52.0,49.0,50.0,52.0,56.0,62.0
