id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,73.0,70.33333333333333,72.66666666666667,76.66666666666667,80.0,80.66666666666667,81.66666666666667,82.66666666666667,88.0,90.66666666666667,89.66666666666667,91.66666666666667,92.66666666666667,94.66666666666667,81.33333333333333,70.66666666666667,63.333333333333336,61.0,54.333333333333336,55.0,52.0,51.666666666666664,54.333333333333336,58.0
2,91.33333333333333,90.0,91.33333333333333,92.33333333333333,91.0,91.0,91.66666666666667,91.0,91.0,89.33333333333333,91.66666666666667,91.66666666666667,91.33333333333333,88.66666666666667,84.66666666666667,78.0,73.66666666666667,70.66666666666667,68.0,65.0,66.66666666666667,67.33333333333333,71.33333333333333,75.33333333333333
3,69.0,74.0,74.0,85.0,73.0,81.33333333333333,87.0,82.0,79.66666666666667,87.0,83.33333333333333,74.0,74.0,74.0,71.0,69.0,60.0,63.0,62.0,62.0,69.0,72.0,71.0,71.0
4,71.0,74.0,73.0,71.0,76.0,73.0,76.0,82.0,84.0,82.0,84.0,84.0,87.0,81.0,74.0,66.0,60.0,58.0,56.0,54.0,54.0,52.0,56.0,58.0
5,64.0,66.0,66.0,71.0,71.0,73.0,76.0,82.0,82.0,90.0,93.0,93.0,93.0,84.0,74.0,65.0,62.0,55.0,55.0,53.0,57.0,58.0,60.0,64.0
6,66.0,66.0,66.0,69.0,73.0,76.0,78.0,76.0,81.0,84.0,84.0,87.0,87.0,84.0,71.0,60.0,54.0,50.0,49.0,42.0,42.0,43.0,42.0,46.0
7,64.0,71.0,76.0,78.0,82.0,84.0,84.0,87.0,90.0,97.0,96.0,96.0,96.0,87.0,74.0,62.0,56.0,56.0,50.0,48.0,46.0,45.0,46.0,56.0
8,68.0,70.0,73.0,73.0,75.0,78.0,87.0,90.0,90.0,93.0,93.0,93.0,90.0,93.0,84.0,71.0,66.0,62.0,60.0,53.0,50.0,49.0,54.0,56.0
9,72.33333333333333,78.33333333333333,81.0,83.66666666666667,86.33333333333333,88.77777777777777,90.66666666666667,91.33333333333333,89.66666666666667,93.0,93.33333333333333,91.66666666666667,93.55555555555556,91.77777777777777,89.33333333333333,80.0,73.66666666666667,73.66666666666667,71.33333333333333,71.66666666666667,75.33333333333333,76.0,78.66666666666667,79.0
10,71.0,76.0,81.0,84.0,81.0,84.0,84.0,87.0,84.0,84.0,87.0,87.0,87.0,91.0,88.0,82.0,74.0,71.0,65.0,65.0,67.0,67.0,69.0,77.0
11,85.0,94.0,99.0,85.66666666666667,87.33333333333333,91.33333333333333,30.0,96.33333333333333,97.0,97.0,96.0,95.33333333333333,25.0,96.33333333333333,94.0,91.0,85.0,90.0,84.0,84.0,88.0,84.0,86.0,86.0
12,75.0,81.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,75.0,67.0,61.0,54.0,89.0,58.0,56.0,61.0
13,84.0,87.0,90.0,93.0,93.0,93.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,94.0,82.0,82.0,77.0,65.0,49.0,56.0,51.0,47.0,54.0
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,79.0,76.0,72.0,76.0,69.0,69.0,72.0,74.0,84.0
15,95.0,93.0,94.0,96.0,96.0,96.0,96.0,96.0,94.0,92.0,95.0,95.0,95.0,91.0,85.0,78.0,72.0,66.0,63.0,62.0,63.0,63.0,68.0,70.0
16,91.0,90.0,87.0,87.0,87.0,91.0,94.0,90.0,90.0,90.0,88.0,90.0,93.0,93.0,88.0,82.0,72.0,69.0,67.0,67.0,64.0,62.0,69.0,70.0
17,62.0,66.0,71.0,76.0,78.0,84.0,90.0,93.0,96.0,97.0,93.0,93.0,97.0,96.0,87.0,74.0,62.0,60.0,58.0,60.0,60.0,62.0,74.0,74.0
18,95.0,97.0,98.0,98.0,98.0,96.0,96.0,94.0,95.0,96.0,95.0,94.0,94.0,95.0,92.0,92.0,89.0,87.0,80.0,78.0,77.0,76.0,78.0,84.0
19,79.0,79.0,87.0,90.0,90.0,90.0,93.0,96.0,96.0,93.0,93.0,93.0,96.0,93.0,87.0,77.0,69.0,58.0,43.0,43.0,43.0,43.0,44.0,51.0
20,95.0,95.0,96.0,96.0,95.0,95.0,94.0,95.0,94.0,94.0,95.0,95.0,94.0,93.0,90.0,82.0,80.0,77.0,74.0,71.0,73.0,75.0,79.0,82.0
21,76.0,81.0,84.0,90.0,94.0,94.0,94.0,93.0,95.0,94.0,94.0,99.0,100.0,100.0,92.0,84.0,82.0,68.0,60.0,55.0,58.0,55.0,56.0,53.0
22,73.0,73.0,76.0,73.0,81.0,78.0,82.0,84.0,90.0,93.0,93.0,93.0,97.0,90.0,81.0,71.0,65.0,58.0,55.0,58.0,51.0,53.0,51.0,54.0
23,74.0,74.0,74.0,74.0,74.0,74.0,79.0,79.0,79.0,90.0,87.0,84.0,87.0,82.0,76.0,69.0,62.0,62.0,60.0,63.0,61.0,62.0,67.0,62.0
24,73.0,76.0,82.0,78.0,87.0,93.0,90.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,84.0,71.0,62.0,56.0,53.0,51.0,51.0,55.0,52.0,58.0
25,74.0,81.0,81.0,84.0,87.0,90.0,92.0,87.0,88.0,89.0,90.0,92.0,94.0,92.0,86.0,80.0,73.0,73.0,74.0,74.0,75.0,77.0,81.0,81.0
26,54.0,52.0,64.0,66.0,71.0,73.0,78.0,82.0,81.0,84.0,90.0,90.0,90.0,84.0,71.0,66.0,65.0,69.0,53.0,52.0,48.0,51.0,54.0,62.0
27,71.0,72.0,71.0,71.0,71.0,73.0,73.0,79.0,80.0,83.0,83.0,85.0,88.0,82.0,68.0,64.0,58.0,54.0,51.0,46.0,44.0,46.0,47.0,52.0
28,73.0,73.0,72.0,73.0,71.0,73.0,80.0,82.0,84.0,85.0,88.0,91.0,95.0,88.0,72.0,63.0,57.0,51.0,48.0,47.0,45.0,47.0,49.0,51.0
29,64.0,66.0,72.66666666666667,76.0,79.0,84.33333333333333,84.66666666666667,84.33333333333333,85.0,91.0,94.66666666666667,94.33333333333333,92.66666666666667,91.33333333333333,72.0,64.33333333333333,55.666666666666664,50.333333333333336,52.333333333333336,49.666666666666664,47.666666666666664,44.0,46.666666666666664,54.333333333333336
30,90.66666666666667,93.33333333333333,94.0,93.66666666666667,93.33333333333333,93.33333333333333,92.66666666666667,93.66666666666667,93.0,90.33333333333333,92.33333333333333,94.0,94.33333333333333,93.66666666666667,90.0,79.0,67.33333333333333,62.333333333333336,56.333333333333336,57.0,53.333333333333336,55.333333333333336,63.666666666666664,82.0
31,77.33333333333333,80.33333333333333,85.0,89.33333333333333,91.0,91.0,92.0,93.0,94.66666666666667,93.66666666666667,93.66666666666667,93.66666666666667,94.66666666666667,93.66666666666667,88.0,79.66666666666667,71.33333333333333,59.666666666666664,53.0,47.666666666666664,46.333333333333336,47.0,49.0,64.0
32,77.66666666666667,81.33333333333333,84.66666666666667,89.0,90.66666666666667,90.66666666666667,91.66666666666667,92.33333333333333,92.33333333333333,90.33333333333333,91.33333333333333,92.0,93.33333333333333,92.66666666666667,89.33333333333333,81.66666666666667,68.66666666666667,59.333333333333336,53.333333333333336,50.0,47.333333333333336,47.666666666666664,74.0,73.0
33,72.33333333333333,76.33333333333333,75.66666666666667,80.66666666666667,78.33333333333333,80.77777777777777,82.0,80.33333333333333,80.22222222222223,81.0,81.77777777777777,78.66666666666667,79.33333333333333,78.66666666666667,69.0,64.66666666666667,61.666666666666664,60.333333333333336,60.0,60.0,62.666666666666664,65.33333333333333,66.66666666666667,70.0
34,83.66666666666667,84.66666666666667,90.33333333333333,94.33333333333333,94.33333333333333,94.33333333333333,96.33333333333333,98.66666666666667,98.66666666666667,97.66666666666667,97.66666666666667,97.66666666666667,98.66666666666667,96.66666666666667,91.66666666666667,81.0,78.33333333333333,68.33333333333333,56.666666666666664,48.0,50.0,49.666666666666664,48.666666666666664,54.333333333333336
35,70.33333333333333,71.33333333333333,72.0,71.0,72.66666666666667,74.33333333333333,77.66666666666667,80.66666666666667,82.33333333333333,85.33333333333333,86.0,85.0,87.0,83.33333333333333,73.66666666666667,64.33333333333333,59.0,57.666666666666664,55.333333333333336,54.333333333333336,53.333333333333336,52.333333333333336,57.0,55.666666666666664
36,84.0,90.0,90.0,90.0,90.0,90.0,87.0,87.0,87.0,84.0,87.0,87.0,90.0,90.0,87.0,82.0,74.0,64.0,58.0,58.0,58.0,56.0,78.0,84.0
37,53.0,54.0,56.333333333333336,59.333333333333336,61.333333333333336,61.333333333333336,65.0,65.0,70.66666666666667,74.33333333333333,73.33333333333333,71.66666666666667,74.33333333333333,75.0,64.33333333333333,56.666666666666664,52.333333333333336,47.0,45.0,42.0,42.0,41.0,42.333333333333336,43.666666666666664
38,81.66666666666667,87.33333333333333,91.0,89.55555555555556,90.1111111111111,96.0,97.0,96.0,95.0,94.0,95.0,93.0,94.0,93.0,88.0,86.0,79.0,77.0,72.0,73.0,74.0,70.0,70.0,74.0
39,65.0,69.0,69.0,78.0,78.0,78.0,83.0,83.0,94.0,100.0,94.0,94.0,94.0,100.0,83.0,74.0,65.0,65.0,54.0,54.0,54.0,51.0,54.0,58.0
40,81.0,84.0,87.0,87.0,87.0,87.0,87.0,87.0,84.0,84.0,84.0,87.0,87.0,87.0,84.0,71.0,69.0,56.0,49.0,48.0,44.0,73.0,76.0,65.0
41,76.0,84.0,84.0,88.0,91.0,87.0,81.0,81.0,84.0,87.0,90.0,90.0,93.0,87.0,76.0,62.0,63.0,65.0,65.0,65.0,69.0,69.0,74.0,79.0
42,65.0,68.66666666666667,69.33333333333333,69.66666666666667,71.0,75.0,75.33333333333333,80.66666666666667,83.66666666666667,87.33333333333333,90.33333333333333,93.0,94.33333333333333,83.0,69.0,66.33333333333333,65.0,57.333333333333336,56.666666666666664,54.666666666666664,56.666666666666664,57.666666666666664,58.0,61.333333333333336
43,88.0,88.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,84.0,84.0,70.0,62.0,52.0,51.0,55.0,55.0,58.0
44,65.0,74.0,74.0,78.0,83.0,83.0,83.0,83.0,88.0,88.0,88.0,88.0,88.0,88.0,83.0,78.0,61.0,51.0,54.0,48.0,45.0,43.0,48.0,83.0
45,71.0,82.0,87.0,90.0,97.0,90.0,93.0,96.0,93.0,96.0,96.0,96.0,93.0,97.0,90.0,71.0,60.0,55.0,55.0,53.0,54.0,60.0,64.0,69.0
46,65.0,64.0,69.0,73.0,78.0,88.0,90.0,94.0,94.0,100.0,100.0,100.0,100.0,100.0,78.0,74.0,62.0,58.333333333333336,54.333333333333336,51.0,45.0,48.0,51.0,61.0
47,64.0,69.0,73.0,73.0,73.0,73.0,73.0,78.0,83.0,88.0,88.0,88.0,88.0,94.0,83.0,69.0,61.0,58.0,58.0,51.0,48.0,51.0,51.0,58.0
48,91.0,94.0,94.0,94.0,94.0,94.0,94.0,97.0,97.0,93.0,93.0,96.0,93.0,93.0,94.0,76.0,64.0,62.0,56.0,54.0,51.0,56.0,58.0,75.0
49,78.0,83.0,88.0,94.0,94.0,94.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,74.0,69.0,70.0,66.0,70.0,74.0,74.0,74.0,78.0
50,73.66666666666667,77.66666666666667,81.33333333333333,83.33333333333333,85.0,88.0,90.0,88.0,87.0,89.0,91.0,91.0,92.33333333333333,92.0,87.0,77.66666666666667,71.66666666666667,70.0,67.33333333333333,67.0,70.33333333333333,71.0,72.66666666666667,79.33333333333333
51,81.33333333333333,90.33333333333333,89.77777777777777,95.44444444444444,92.77777777777777,93.1111111111111,93.44444444444444,94.33333333333333,93.8888888888889,96.55555555555556,97.0,97.0,96.8888888888889,96.55555555555556,91.22222222222223,87.33333333333333,80.66666666666667,69.66666666666667,74.33333333333333,60.666666666666664,53.333333333333336,53.666666666666664,48.333333333333336,53.333333333333336
52,69.0,73.0,78.0,78.0,83.0,83.0,83.0,83.0,83.0,88.0,83.0,88.0,88.0,88.0,78.0,69.0,61.0,61.0,51.0,48.0,48.0,48.0,51.0,54.0
53,73.0,79.0,79.0,84.0,87.0,87.0,87.0,87.0,87.0,84.0,87.0,87.0,87.0,87.0,87.0,79.0,64.0,60.0,54.0,51.0,46.0,47.0,87.0,84.0
54,73.0,83.0,83.0,78.0,83.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,94.0,100.0,100.0,88.0,65.0,54.0,54.0,61.0,58.0,54.0,51.0,54.0
55,84.0,82.0,84.0,85.0,82.0,82.0,85.0,82.0,85.0,82.0,85.0,85.0,85.0,82.0,79.0,74.0,69.0,69.0,67.0,62.0,64.0,64.0,67.0,74.0
56,87.0,91.0,87.0,90.0,87.0,90.0,90.0,90.0,91.0,91.0,91.0,87.0,87.0,87.0,88.0,79.0,69.0,62.0,64.0,62.0,62.0,64.0,67.0,74.0
57,79.66666666666667,85.0,90.0,94.66666666666667,96.0,95.0,96.33333333333333,95.66666666666667,95.33333333333333,95.66666666666667,95.66666666666667,95.66666666666667,97.33333333333333,97.66666666666667,94.0,88.0,76.0,64.0,59.666666666666664,56.666666666666664,56.333333333333336,58.0,88.66666666666667,82.66666666666667
58,97.0,96.0,98.0,97.0,96.0,96.0,97.0,97.0,95.0,94.0,97.0,99.0,100.0,98.0,89.0,79.0,64.0,61.0,55.0,59.0,51.0,54.0,55.0,87.0
59,73.0,73.0,78.0,78.0,82.0,84.0,83.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,87.66666666666667,89.33333333333333,93.66666666666667,94.0,78.0,69.66666666666667,58.0,56.666666666666664,53.0,55.0,51.0,51.333333333333336,52.666666666666664,55.333333333333336
60,66.0,68.66666666666667,69.33333333333333,69.66666666666667,71.0,73.33333333333333,77.66666666666667,80.33333333333333,82.33333333333333,88.66666666666667,89.66666666666667,93.0,94.33333333333333,84.66666666666667,72.33333333333333,66.33333333333333,60.666666666666664,57.333333333333336,56.666666666666664,54.666666666666664,56.666666666666664,57.666666666666664,58.0,61.333333333333336
61,73.0,72.0,73.0,73.0,73.0,79.0,83.0,83.0,88.0,88.0,88.0,93.0,93.33333333333333,91.0,78.0,70.33333333333333,65.0,58.0,54.0,52.0,52.0,48.0,51.0,54.0
62,66.0,66.0,71.0,79.0,84.0,87.0,81.0,79.0,81.0,79.0,81.0,87.0,87.0,82.0,74.0,65.0,58.0,55.0,57.0,51.0,49.0,55.0,62.0,69.0
63,73.0,76.0,73.0,76.0,81.0,87.0,93.0,97.0,100.0,100.0,100.0,100.0,100.0,97.0,79.0,66.0,60.0,53.0,48.0,46.0,43.0,46.0,49.0,54.0
64,69.0,71.0,71.0,69.0,73.0,78.0,76.0,84.0,87.0,90.0,96.0,96.0,97.0,87.0,74.0,67.0,58.0,55.0,53.0,53.0,55.0,55.0,54.0,58.0
65,79.0,79.0,78.0,84.0,90.0,90.0,87.0,87.0,87.0,87.0,87.0,87.0,90.0,87.0,81.0,71.0,66.0,69.0,62.0,58.0,61.0,70.0,63.0,68.0
66,55.666666666666664,55.333333333333336,58.666666666666664,57.666666666666664,62.333333333333336,61.333333333333336,64.66666666666667,65.33333333333333,69.33333333333333,72.0,73.0,71.33333333333333,75.33333333333333,71.66666666666667,63.666666666666664,55.666666666666664,52.333333333333336,44.666666666666664,45.333333333333336,43.333333333333336,41.0,41.666666666666664,41.333333333333336,42.333333333333336
67,73.0,78.0,83.0,83.0,88.0,94.0,100.0,100.0,94.0,94.0,94.0,100.0,94.0,94.0,94.0,88.0,83.0,69.0,78.0,65.0,65.0,62.0,58.0,58.0
68,71.0,74.0,72.0,73.0,72.0,83.0,87.0,87.0,84.0,86.0,88.0,90.0,93.0,89.0,72.0,64.0,58.0,57.0,58.0,51.0,49.0,52.0,54.0,61.0
69,66.0,66.0,69.0,68.0,68.0,76.0,78.0,81.0,84.0,84.0,87.0,87.0,87.0,87.0,71.0,58.0,55.0,53.0,50.0,46.0,45.0,43.0,48.0,47.0
70,72.0,76.33333333333333,78.66666666666667,83.66666666666667,88.33333333333333,89.0,82.0,82.33333333333333,84.0,83.33333333333333,86.0,89.0,91.0,85.33333333333333,76.33333333333333,63.666666666666664,59.666666666666664,61.666666666666664,62.333333333333336,58.666666666666664,58.0,60.666666666666664,67.0,74.0
71,74.0,83.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,78.0,70.0,62.0,55.0,55.0,62.0,70.0,74.0,84.0
72,64.0,71.0,72.0,74.66666666666667,78.0,81.0,81.0,84.0,90.0,90.0,90.0,93.0,96.0,90.0,74.0,60.0,60.0,55.0,57.0,51.0,48.0,48.0,49.0,58.0
73,98.0,100.0,100.0,97.0,95.0,96.0,98.0,97.0,97.0,94.0,96.0,98.0,98.0,98.0,91.0,83.0,73.0,71.0,70.0,71.0,68.0,71.0,72.0,77.0
74,51.0,74.0,78.0,78.0,85.33333333333333,89.66666666666667,94.33333333333333,91.66666666666667,91.66666666666667,94.0,95.0,100.0,100.0,88.0,78.0,74.0,69.0,60.666666666666664,55.0,58.0,55.0,55.0,61.0,65.0
